,name,category
0,mscoco/images/COCO_train2014_000000462955.jpg,Surprise
1,mscoco/images/COCO_train2014_000000144608.jpg,Happy
2,emodb_small/images/ebpsbjqzfhd7efh00i.jpg,Sad
3,emodb_small/images/ebpsbjqzfhd7efh00i.jpg,Sad
4,emodb_small/images/ebpsbjqzfhd7efh00i.jpg,Sad
5,framesdb/images/frame_k245twaqc30i5imc.jpg,Neutral
6,framesdb/images/frame_dkwhvgj0m40g01gs.jpg,Happy
7,framesdb/images/frame_fjgek3oeqc8r0e3o.jpg,Neutral
8,framesdb/images/frame_kuxvwgw2wheq7szc.jpg,Neutral
9,framesdb/images/frame_95x221h7yj814qxc.jpg,Neutral
10,framesdb/images/frame_95x221h7yj814qxc.jpg,Disgust
11,framesdb/images/frame_erwzk3npaleubsqm.jpg,Neutral
12,framesdb/images/frame_erwzk3npaleubsqm.jpg,Angry
13,framesdb/images/frame_erwzk3npaleubsqm.jpg,Neutral
14,framesdb/images/frame_b1v3bzyq8s4ucvy1.jpg,Neutral
15,framesdb/images/frame_b1v3bzyq8s4ucvy1.jpg,Surprise
16,framesdb/images/frame_b1v3bzyq8s4ucvy1.jpg,Neutral
17,mscoco/images/COCO_train2014_000000563727.jpg,Neutral
18,emodb_small/images/gs84txnh5el02zkbp9.jpg,Disgust
19,framesdb/images/frame_aztc78d4kjclxv9e.jpg,Neutral
20,framesdb/images/frame_aztc78d4kjclxv9e.jpg,Surprise
21,framesdb/images/frame_aztc78d4kjclxv9e.jpg,Neutral
22,framesdb/images/frame_7nseu023ccmqaj3p.jpg,Neutral
23,framesdb/images/frame_7nseu023ccmqaj3p.jpg,Neutral
24,framesdb/images/frame_7nseu023ccmqaj3p.jpg,Happy
25,framesdb/images/frame_7nseu023ccmqaj3p.jpg,Neutral
26,framesdb/images/frame_j44zhny87dief9zp.jpg,Happy
27,framesdb/images/frame_j44zhny87dief9zp.jpg,Neutral
28,framesdb/images/frame_j44zhny87dief9zp.jpg,Neutral
29,framesdb/images/frame_kpokdxsxymvz4qk3.jpg,Neutral
30,framesdb/images/frame_08cmg83x4uc6vay4.jpg,Neutral
31,framesdb/images/frame_08cmg83x4uc6vay4.jpg,Neutral
32,framesdb/images/frame_08cmg83x4uc6vay4.jpg,Happy
33,framesdb/images/frame_3jwi6nrvfphi4lp6.jpg,Neutral
34,framesdb/images/frame_3jwi6nrvfphi4lp6.jpg,Neutral
35,framesdb/images/frame_3jwi6nrvfphi4lp6.jpg,Neutral
36,framesdb/images/frame_3jwi6nrvfphi4lp6.jpg,Angry
37,framesdb/images/frame_3jwi6nrvfphi4lp6.jpg,Neutral
38,framesdb/images/frame_hzo04gqf487tm689.jpg,Neutral
39,framesdb/images/frame_hzo04gqf487tm689.jpg,Happy
40,framesdb/images/frame_hzo04gqf487tm689.jpg,Neutral
41,framesdb/images/frame_8bcjgl84a80cguy5.jpg,Neutral
42,framesdb/images/frame_8bcjgl84a80cguy5.jpg,Disgust
43,framesdb/images/frame_8bcjgl84a80cguy5.jpg,Surprise
44,framesdb/images/frame_bwnq9ntic9dpamg2.jpg,Neutral
45,framesdb/images/frame_bwnq9ntic9dpamg2.jpg,Happy
46,emodb_small/images/78tk87458zwsmxaoi7.jpg,Neutral
47,framesdb/images/frame_6290od7o4jvss70n.jpg,Neutral
48,framesdb/images/frame_gq8umfw35sg36nlq.jpg,Neutral
49,framesdb/images/frame_gq8umfw35sg36nlq.jpg,Happy
50,emodb_small/images/h705hnfsvdwf6mh2xw.jpg,Neutral
51,emodb_small/images/h705hnfsvdwf6mh2xw.jpg,Angry
52,mscoco/images/COCO_train2014_000000282027.jpg,Surprise
53,framesdb/images/frame_88u3mzsacaic5583.jpg,Neutral
54,framesdb/images/frame_hdepjixs67t3l4zo.jpg,Happy
55,framesdb/images/frame_hdepjixs67t3l4zo.jpg,Fear
56,framesdb/images/frame_hdepjixs67t3l4zo.jpg,Neutral
57,emodb_small/images/ab3l4riuiqrc4ivkqk.jpg,Disgust
58,emodb_small/images/4le1bbiky5djx0iuln.jpg,Happy
59,emodb_small/images/4le1bbiky5djx0iuln.jpg,Happy
60,emodb_small/images/4le1bbiky5djx0iuln.jpg,Happy
61,framesdb/images/frame_482f0lsguoiv0sk6.jpg,Happy
62,framesdb/images/frame_482f0lsguoiv0sk6.jpg,Neutral
63,mscoco/images/COCO_val2014_000000510791.jpg,Happy
64,framesdb/images/frame_ddghjgrf7k9jei5j.jpg,Neutral
65,framesdb/images/frame_7qztqnocqk4d67lc.jpg,Happy
66,framesdb/images/frame_7qztqnocqk4d67lc.jpg,Neutral
67,framesdb/images/frame_hkvjon62ft6acgnx.jpg,Happy
68,framesdb/images/frame_6x5lpc7dh3yvrnc3.jpg,Happy
69,framesdb/images/frame_6x5lpc7dh3yvrnc3.jpg,Happy
70,framesdb/images/frame_6x5lpc7dh3yvrnc3.jpg,Neutral
71,framesdb/images/frame_jsnriwfd0ffphs5g.jpg,Happy
72,framesdb/images/frame_jsnriwfd0ffphs5g.jpg,Neutral
73,framesdb/images/frame_63mtckpdjfc0y9q8.jpg,Surprise
74,framesdb/images/frame_63mtckpdjfc0y9q8.jpg,Neutral
75,framesdb/images/frame_63mtckpdjfc0y9q8.jpg,Angry
76,framesdb/images/frame_63mtckpdjfc0y9q8.jpg,Happy
77,framesdb/images/frame_63mtckpdjfc0y9q8.jpg,Neutral
78,framesdb/images/frame_63mtckpdjfc0y9q8.jpg,Neutral
79,framesdb/images/frame_98zn80gxar4u0kzg.jpg,Neutral
